region,year,population,region_standard
Республика Карелия,2019,702847.0,Республика Карелия
Республика Коми,2019,999857.0,Республика Коми
Архангельская область,2019,1315549.0,Архангельская область
Ненецкий автономный округ (Архангельская область),2019,41881.0,Ненецкий автономный округ
Архангельская область (кроме Ненецкого автономного округа),2019,1273668.0,Архангельская область
Вологодская область,2019,1255924.0,Вологодская область
Калининградская область,2019,947887.0,Калининградская область
Ленинградская область,2019,1673287.0,Ленинградская область
Мурманская область,2019,873145.0,Мурманская область
Новгородская область,2019,682965.0,Новгородская область
Псковская область,2019,746750.0,Псковская область
Город Санкт-Петербург город федерального значения,2019,4662038.0,Санкт-Петербург
Южный федеральный округ (с 2010 года),2019,13905906.0,
Республика Адыгея (Адыгея),2019,444848.0,Республика Адыгея
Республика Калмыкия,2019,292168.0,Республика Калмыкия
Краснодарский край,2019,5114905.0,Краснодарский край
Астраханская область,2019,1006073.0,Астраханская область
Волгоградская область,2019,2672392.0,Волгоградская область
Ростовская область,2019,4375520.0,Ростовская область
Северо-Кавказский федеральный округ,2019,8967070.0,
Республика Дагестан,2019,2617502.0,Республика Дагестан
Республика Ингушетия,2019,451933.0,Республика Ингушетия
Кабардино-Балкарская Республика,2019,889639.0,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2019,444342.0,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2019,707679.0,Республика Северная Осетия - Алания
Чеченская Республика,2019,1116910.0,Чеченская Республика
Ставропольский край,2019,2739065.0,Ставропольский край
Приволжский федеральный округ,2019,30893142.0,
Республика Башкортостан,2019,4094215.0,Республика Башкортостан
Республика Марий Эл,2019,722703.0,Республика Марий Эл
Республика Мордовия,2019,878299.0,Республика Мордовия
Республика Татарстан (Татарстан),2019,3773105.0,Республика Татарстан
Удмуртская Республика,2019,1561092.0,Удмуртская Республика
Чувашская Республика - Чувашия,2019,1301632.0,Чувашская Республика
Пермский край,2019,2783049.0,Пермский край
Кировская область,2019,1472481.0,Кировская область
Нижегородская область,2019,3481080.0,Нижегородская область
Оренбургская область,2019,2149942.0,Оренбургская область
Пензенская область,2019,1439986.0,Пензенская область
Самарская область,2019,3229151.0,Самарская область
Саратовская область,2019,2639528.0,Саратовская область
Ульяновская область,2019,1366879.0,Ульяновская область
Уральский федеральный округ,2019,12284550.0,
Курганская область,2019,999446.0,Курганская область
Свердловская область,2019,4434165.0,Свердловская область
Тюменская область,2019,3281655.0,Тюменская область
Ханты-Мансийский автономный округ - Югра (Тюменская область),2019,1453541.0,Ханты-Мансийский автономный округ
Ямало-Ненецкий автономный округ (Тюменская область),2019,510846.0,Ямало-Ненецкий автономный округ
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2019,1317268.0,Тюменская область
Челябинская область,2019,3569284.0,Челябинская область
Сибирский федеральный округ,2019,19849333.0,
Республика Алтай,2019,202571.0,Республика Алтай
Республика Тыва,2019,304957.0,Республика Тыва
Республика Хакасия,2019,541414.0,Республика Хакасия
Алтайский край,2019,2571987.0,Алтайский край
Красноярский край,2019,2931905.0,Красноярский край
Иркутская область,2019,2552298.0,Иркутская область
Кемеровская область - Кузбасс,2019,2862105.0,Кемеровская область
Новосибирская область,2019,2674155.0,Новосибирская область
Омская область,2019,2052741.0,Омская область
Томская область,2019,1037952.0,Томская область
Дальневосточный федеральный округ,2019,6608263.0,
Республика Бурятия,2019,974561.0,Республика Бурятия
Забайкальский край,2019,1142687.0,Забайкальский край
Республика Саха (Якутия),2019,949969.0,Республика Саха (Якутия)
Камчатский край,2019,350510.0,Камчатский край
Приморский край,2019,2048582.0,Приморский край
Хабаровский край,2019,1416224.0,Хабаровский край
Амурская область,2019,887781.0,Амурская область
Магаданская область,2019,178069.0,Магаданская область
Сахалинская область,2019,536783.0,Сахалинская область
Еврейская автономная область,2019,188412.0,Еврейская автономная область
Чукотский автономный округ,2019,51933.0,Чукотский автономный округ
Раздел 1. Муниципальные образования субъектов Российской Федерации,2020,143801046.0,
Центральный федеральный округ,2020,38044068.0,
Белгородская область,2020,1511662.0,Белгородская область
Брянская область,2020,1344132.0,Брянская область
Владимирская область,2020,1497598.0,Владимирская область
Воронежская область,2020,2364932.0,Воронежская область
Ивановская область,2020,1116739.0,Ивановская область
Калужская область,2020,1027581.0,Калужская область
Костромская область,2020,711978.0,Костромская область
Курская область,2020,1195812.0,Курская область
Липецкая область,2020,1198580.0,Липецкая область
Московская область,2020,6736742.0,Московская область
Орловская область,2020,835165.0,Орловская область
Рязанская область,2020,1199404.0,Рязанская область
Смоленская область,2020,1032297.0,Смоленская область
Тамбовская область,2020,1150828.0,Тамбовская область
Тверская область,2020,1432612.0,Тверская область
Тульская область,2020,1631778.0,Тульская область
Ярославская область,2020,1329799.0,Ярославская область
Город Москва столица Российской Федерации город федерального значения,2020,10726429.0,Москва
Северо-Западный федеральный округ,2020,13793490.0,
Республика Карелия,2020,689601.0,Республика Карелия
Республика Коми,2020,982890.0,Республика Коми
Архангельская область,2020,1299218.0,Архангельская область
Ненецкий автономный округ (Архангельская область),2020,41906.0,Ненецкий автономный округ
Архангельская область (кроме Ненецкого автономного округа),2020,1257312.0,Архангельская область
Вологодская область,2020,1245769.0,Вологодская область
Калининградская область,2020,942098.0,Калининградская область
Ленинградская область,2020,1681445.0,Ленинградская область
Мурманская область,2020,856939.0,Мурманская область
Новгородская область,2020,674519.0,Новгородская область
Псковская область,2020,734520.0,Псковская область
Город Санкт-Петербург город федерального значения,2020,4686491.0,Санкт-Петербург
Южный федеральный округ (с 2010 года),2020,13870776.0,
Республика Адыгея (Адыгея),2020,443300.0,Республика Адыгея
Республика Калмыкия,2020,293179.0,Республика Калмыкия
Краснодарский край,2020,5118903.0,Краснодарский край
Астраханская область,2020,1006467.0,Астраханская область
Волгоградская область,2020,2656212.0,Волгоградская область
Ростовская область,2020,4352715.0,Ростовская область
Северо-Кавказский федеральный округ,2020,8994605.0,
Республика Дагестан,2020,2652711.0,Республика Дагестан
Республика Ингушетия,2020,433685.0,Республика Ингушетия
Кабардино-Балкарская Республика,2020,877308.0,Кабардино-Балкарская Республика
Карачаево-Черкесская Республика,2020,450220.0,Карачаево-Черкесская Республика
Республика Северная Осетия-Алания,2020,706393.0,Республика Северная Осетия - Алания
Чеченская Республика,2020,1133172.0,Чеченская Республика
Ставропольский край,2020,2741116.0,Ставропольский край
Приволжский федеральный округ,2020,30678744.0,
Республика Башкортостан,2020,4081349.0,Республика Башкортостан
Республика Марий Эл,2020,718260.0,Республика Марий Эл
Республика Мордовия,2020,871848.0,Республика Мордовия
Республика Татарстан (Татарстан),2020,3768167.0,Республика Татарстан
Удмуртская Республика,2020,1554292.0,Удмуртская Республика
Чувашская Республика - Чувашия,2020,1291065.0,Чувашская Республика
Пермский край,2020,2751562.0,Пермский край
Кировская область,2020,1445356.0,Кировская область
Нижегородская область,2020,3447896.0,Нижегородская область
